Participant,Block,Distance,Technique,Trial,Phase,Event,Gap,Time Stamp
5,6,Null,Null,-1,Null,Experiment Start,,09:22:22.656
5,6,Far,PhoneGyro,-1,Null,Block Start,,09:22:22.661
5,6,Far,PhoneGyro,-1,RoughPlacement,Practice Trial Start,,09:22:22.666
5,6,Far,PhoneGyro,-1,RoughPlacement,press,,09:22:34.780
5,6,Far,PhoneGyro,-1,RoughPlacement,correct,0.3118062,09:22:36.143
5,6,Far,PhoneGyro,-1,FinePlacement,press,,09:22:37.617
5,6,Far,PhoneGyro,-1,FinePlacement,release,0.9915091,09:22:39.859
5,6,Far,PhoneGyro,-1,FinePlacement,press,,09:22:40.161
5,6,Far,PhoneGyro,-1,FinePlacement,release,0.4680093,09:22:40.417
5,6,Far,PhoneGyro,-1,FinePlacement,press,,09:22:40.758
5,6,Far,PhoneGyro,-1,FinePlacement,release,0.6766542,09:22:41.418
5,6,Far,PhoneGyro,-1,FinePlacement,press,,09:22:41.738
5,6,Far,PhoneGyro,-1,FinePlacement,release,0.8004135,09:22:42.057
5,6,Far,PhoneGyro,-1,FinePlacement,press,,09:22:42.322
5,6,Far,PhoneGyro,-1,FinePlacement,release,0.3662827,09:22:43.122
5,6,Far,PhoneGyro,-1,FinePlacement,press,,09:22:43.302
5,6,Far,PhoneGyro,-1,FinePlacement,correct,0.05827064,09:22:44.560
5,6,Far,PhoneGyro,-1,Rotation,press,,09:22:45.059
5,6,Far,PhoneGyro,-1,Rotation,release,55.34855,09:22:45.839
5,6,Far,PhoneGyro,-1,Rotation,press,,09:22:46.120
5,6,Far,PhoneGyro,-1,Rotation,release,92.41038,09:22:46.620
5,6,Far,PhoneGyro,-1,Rotation,press,,09:22:46.899
5,6,Far,PhoneGyro,-1,Rotation,correct,4.384365,09:22:47.802
5,6,Far,PhoneGyro,-1,Rotation,Practice Trial End,,09:22:47.803
5,6,Far,PhoneGyro,-1,RoughPlacement,Practice Trial Start,,09:22:47.803
5,6,Far,PhoneGyro,-1,RoughPlacement,press,,09:22:50.918
5,6,Far,PhoneGyro,-1,RoughPlacement,correct,0.5853002,09:22:51.880
5,6,Far,PhoneGyro,-1,FinePlacement,press,,09:22:52.561
5,6,Far,PhoneGyro,-1,FinePlacement,release,0.2524817,09:22:52.881
5,6,Far,PhoneGyro,-1,FinePlacement,press,,09:22:53.178
5,6,Far,PhoneGyro,-1,FinePlacement,release,0.5333593,09:22:53.397
5,6,Far,PhoneGyro,-1,FinePlacement,press,,09:22:53.558
5,6,Far,PhoneGyro,-1,FinePlacement,release,0.2943869,09:22:53.859
5,6,Far,PhoneGyro,-1,FinePlacement,press,,09:22:54.020
5,6,Far,PhoneGyro,-1,FinePlacement,release,0.4145502,09:22:54.300
5,6,Far,PhoneGyro,-1,FinePlacement,press,,09:22:54.542
5,6,Far,PhoneGyro,-1,FinePlacement,release,0.306534,09:22:54.860
5,6,Far,PhoneGyro,-1,FinePlacement,press,,09:22:55.078
5,6,Far,PhoneGyro,-1,FinePlacement,release,0.1703166,09:22:55.577
5,6,Far,PhoneGyro,-1,FinePlacement,press,,09:22:56.018
5,6,Far,PhoneGyro,-1,FinePlacement,release,0.4421764,09:22:56.402
5,6,Far,PhoneGyro,-1,FinePlacement,press,,09:22:56.678
5,6,Far,PhoneGyro,-1,FinePlacement,release,0.1531782,09:22:57.737
5,6,Far,PhoneGyro,-1,FinePlacement,press,,09:22:58.299
5,6,Far,PhoneGyro,-1,FinePlacement,correct,0.08561374,09:22:58.619
5,6,Far,PhoneGyro,-1,Rotation,press,,09:22:59.040
5,6,Far,PhoneGyro,-1,Rotation,correct,0.7758168,09:23:00.241
5,6,Far,PhoneGyro,-1,Rotation,Practice Trial End,,09:23:00.241
5,6,Far,PhoneGyro,-1,RoughPlacement,Practice Trial Start,,09:23:00.242
5,6,Far,PhoneGyro,-1,RoughPlacement,press,,09:23:02.878
5,6,Far,PhoneGyro,-1,RoughPlacement,press,,09:23:03.598
5,6,Far,PhoneGyro,-1,RoughPlacement,correct,0.5636333,09:23:04.044
5,6,Far,PhoneGyro,-1,FinePlacement,press,,09:23:04.740
5,6,Far,PhoneGyro,-1,FinePlacement,release,0.3908491,09:23:05.119
5,6,Far,PhoneGyro,-1,FinePlacement,press,,09:23:05.325
5,6,Far,PhoneGyro,-1,FinePlacement,release,0.6602231,09:23:05.563
5,6,Far,PhoneGyro,-1,FinePlacement,press,,09:23:05.700
5,6,Far,PhoneGyro,-1,FinePlacement,release,0.4269605,09:23:06.044
5,6,Far,PhoneGyro,-1,FinePlacement,press,,09:23:06.229
5,6,Far,PhoneGyro,-1,FinePlacement,release,0.2995664,09:23:06.540
5,6,Far,PhoneGyro,-1,FinePlacement,press,,09:23:06.738
5,6,Far,PhoneGyro,-1,FinePlacement,release,0.1653449,09:23:07.121
5,6,Far,PhoneGyro,-1,FinePlacement,press,,09:23:07.297
5,6,Far,PhoneGyro,-1,FinePlacement,correct,0.07450308,09:23:08.042
5,6,Far,PhoneGyro,-1,Rotation,press,,09:23:08.383
5,6,Far,PhoneGyro,-1,Rotation,correct,3.546244,09:23:10.018
5,6,Far,PhoneGyro,-1,Rotation,Trial End,,09:23:10.018
5,6,Far,PhoneGyro,1,RoughPlacement,Trial Start,,09:23:10.019
5,6,Far,PhoneGyro,1,RoughPlacement,press,,09:23:13.621
5,6,Far,PhoneGyro,1,RoughPlacement,correct,0.1985372,09:23:14.158
5,6,Far,PhoneGyro,1,FinePlacement,press,,09:23:14.759
5,6,Far,PhoneGyro,1,FinePlacement,correct,0.08337039,09:23:16.003
5,6,Far,PhoneGyro,1,Rotation,press,,09:23:16.598
5,6,Far,PhoneGyro,1,Rotation,release,8.644111,09:23:17.559
5,6,Far,PhoneGyro,1,Rotation,press,,09:23:18.261
5,6,Far,PhoneGyro,1,Rotation,release,17.29231,09:23:18.877
5,6,Far,PhoneGyro,1,Rotation,press,,09:23:19.382
5,6,Far,PhoneGyro,1,Rotation,correct,1.881592,09:23:20.022
5,6,Far,PhoneGyro,1,Rotation,Trial End,,09:23:20.022
5,6,Far,PhoneGyro,2,RoughPlacement,Trial Start,,09:23:20.023
5,6,Far,PhoneGyro,2,RoughPlacement,press,,09:23:22.579
5,6,Far,PhoneGyro,2,RoughPlacement,correct,0.9333767,09:23:22.859
5,6,Far,PhoneGyro,2,FinePlacement,press,,09:23:23.282
5,6,Far,PhoneGyro,2,FinePlacement,correct,0.06393558,09:23:24.700
5,6,Far,PhoneGyro,2,Rotation,press,,09:23:25.020
5,6,Far,PhoneGyro,2,Rotation,correct,1.113466,09:23:26.782
5,6,Far,PhoneGyro,2,Rotation,Trial End,,09:23:26.782
5,6,Far,PhoneGyro,3,RoughPlacement,Trial Start,,09:23:26.783
5,6,Far,PhoneGyro,3,RoughPlacement,press,,09:23:29.022
5,6,Far,PhoneGyro,3,RoughPlacement,press,,09:23:30.219
5,6,Far,PhoneGyro,3,RoughPlacement,correct,0.5312675,09:23:30.602
5,6,Far,PhoneGyro,3,FinePlacement,press,,09:23:31.041
5,6,Far,PhoneGyro,3,FinePlacement,correct,0.07835326,09:23:32.337
5,6,Far,PhoneGyro,3,Rotation,press,,09:23:32.760
5,6,Far,PhoneGyro,3,Rotation,correct,1.761142,09:23:33.978
5,6,Far,PhoneGyro,3,Rotation,Trial End,,09:23:33.978
5,6,Far,PhoneGyro,4,RoughPlacement,Trial Start,,09:23:33.978
5,6,Far,PhoneGyro,4,RoughPlacement,press,,09:23:36.160
5,6,Far,PhoneGyro,4,RoughPlacement,correct,0.3784108,09:23:36.601
5,6,Far,PhoneGyro,4,FinePlacement,press,,09:23:37.139
5,6,Far,PhoneGyro,4,FinePlacement,correct,0.0808621,09:23:38.561
5,6,Far,PhoneGyro,4,Rotation,press,,09:23:39.057
5,6,Far,PhoneGyro,4,Rotation,release,13.56873,09:23:40.940
5,6,Far,PhoneGyro,4,Rotation,press,,09:23:41.418
5,6,Far,PhoneGyro,4,Rotation,correct,5.11236,09:23:41.942
5,6,Far,PhoneGyro,4,Rotation,Trial End,,09:23:41.942
5,6,Far,PhoneGyro,5,RoughPlacement,Trial Start,,09:23:41.943
5,6,Far,PhoneGyro,5,RoughPlacement,press,,09:23:44.040
5,6,Far,PhoneGyro,5,RoughPlacement,correct,0.06313328,09:23:44.357
5,6,Far,PhoneGyro,5,FinePlacement,press,,09:23:44.938
5,6,Far,PhoneGyro,5,FinePlacement,correct,0.06591467,09:23:45.660
5,6,Far,PhoneGyro,5,Rotation,press,,09:23:46.157
5,6,Far,PhoneGyro,5,Rotation,correct,2.549984,09:23:47.917
